"cutoff","estimate","std_error","p_value","is_real","lo","hi"
1948,241.545083420501,39.3473671625051,8.39169659516446e-10,FALSE,164.424243781991,318.665923059011
1953,118.886143522748,26.9603232751962,1.0379167980398e-05,FALSE,66.0439099033639,171.728377142133
1958,166.502855288794,19.4917965832975,1.36159953480273e-17,TRUE,128.298933985531,204.706776592057
1963,158.690937671216,15.6413769032086,3.70308007525747e-24,FALSE,128.033838940927,189.348036401505
1968,133.304627344466,13.9735722082759,1.5074182096876e-21,FALSE,105.916425816245,160.692828872686
