"term","tau","estimate","std.error","p.value"
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.25,28.3428922939658,9.83991359344923,0.00397180581440204
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.25,47.3025168113178,31.5028293574202,0.133218317121815
"(Intercept)",0.5,257.512073343767,2.9411714948432,0
"bs(Age, knots = c(21, 45, 60))1",0.5,-35.6271117700661,1.35518305837596,0
"bs(Age, knots = c(21, 45, 60))2",0.5,-29.179354900813,1.2541557458924,0
"bs(Age, knots = c(21, 45, 60))3",0.5,-19.4231900790237,1.39332851440376,0
"bs(Age, knots = c(21, 45, 60))4",0.5,18.4317353888182,2.02648514705296,0
"bs(Age, knots = c(21, 45, 60))5",0.5,123.458541673387,7.4192465966759,0
"bs(Age, knots = c(21, 45, 60))6",0.5,196.731625969914,18.8618570603398,0
"TitleIXYes",0.5,-6.59356058267194,0.33784683607708,0
"GenderM",0.5,-46.635706475633,3.05599174978184,0
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.5,16.7639398942058,3.28845550696536,3.43671590519179e-07
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.5,15.3409948001318,3.10051610815073,7.50393647219738e-07
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.5,10.0121278635975,3.24042180008087,0.00200324556443809
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.5,15.312366176343,3.58596773560515,1.95425595470589e-05
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.5,7.84326165316874,8.7826624553022,0.371836455783408
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.5,99.7979821575549,24.0939001337072,3.44259591535945e-05
"(Intercept)",0.75,319.416365380808,8.23794746984605,0
"bs(Age, knots = c(21, 45, 60))1",0.75,-52.299700099671,7.06931808315983,1.38111744263369e-13
"bs(Age, knots = c(21, 45, 60))2",0.75,-49.2298635434138,6.83078802296042,5.72208946891806e-13
"bs(Age, knots = c(21, 45, 60))3",0.75,-28.6012328086793,7.02708344895047,4.69887492040577e-05
"bs(Age, knots = c(21, 45, 60))4",0.75,12.2679697860696,7.05011835843334,0.081840371730372
"bs(Age, knots = c(21, 45, 60))5",0.75,123.58247855373,9.44217644879268,0
"bs(Age, knots = c(21, 45, 60))6",0.75,160.008424775039,19.9189666087764,8.88178419700125e-16
"TitleIXYes",0.75,-8.51565046654205,0.529624719546296,0
"GenderM",0.75,-55.6095732098745,8.49088185414943,5.78306291743047e-11
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.75,27.9306839603061,8.74099937152278,0.00139659375838197
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.75,27.7301868596122,8.42677913729135,0.00099934873238583
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.75,10.8879324341271,8.65307728469771,0.208293446879891
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.75,19.3972851710221,8.67358729531907,0.0253283056845615
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.75,25.8860935409343,11.5843014258592,0.0254449475594212
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.75,120.922576281277,25.4226651924145,1.97024457748718e-06
"(Intercept)",0.9,367.372403883877,4.77009215953461,0
"bs(Age, knots = c(21, 45, 60))1",0.9,-69.3758441856922,4.15216888604392,0
"bs(Age, knots = c(21, 45, 60))2",0.9,-68.389597780504,3.93165201903977,0
"bs(Age, knots = c(21, 45, 60))3",0.9,-38.5479121237687,4.14995913820386,0
"bs(Age, knots = c(21, 45, 60))4",0.9,5.07313709678026,4.95109426176301,0.305528822700124
"bs(Age, knots = c(21, 45, 60))5",0.9,125.870490287551,14.4141062587533,0
"bs(Age, knots = c(21, 45, 60))6",0.9,199.681902220231,39.6016088194511,4.60145763714337e-07
"TitleIXYes",0.9,-10.3886729776055,0.715637334008546,0
"GenderM",0.9,-63.2322817068186,5.41743313550737,0
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.9,39.3377906245529,5.87879529035867,2.21078710893607e-11
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.9,33.733506929325,5.53861185436603,1.12533404816872e-09
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.9,11.1022806918201,5.77351073758625,0.0544843224175189
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.9,21.2099319851649,6.45801393465834,0.00102247248770526
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.9,43.1261293262162,15.7830643992495,0.00628702509542367
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.9,23.1519944028119,39.9881535406248,0.562608678638843
