"term","tau","estimate","std.error","p.value"
"bs(Age, knots = c(21, 45, 60))6",0.25,9585.29579933866,14838.3391643972,0.518291377665061
"TitleIX_since1975",0.25,-0.647706080869964,0.622716356117655,0.298279727403743
"GenderM",0.25,-2143.38644624427,14670.4101672734,0.883840355807874
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.25,922.51184613627,14764.0062325501,0.950177543554933
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.25,439.866850728323,14643.1160909731,0.976035832489935
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.25,538.486489295149,14685.709832745,0.970750227824905
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.25,456.16487357635,14651.1537408797,0.975161819404776
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.25,471.950060930075,14735.2010008207,0.974449131724327
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.25,2015.91385434003,14879.8566306999,0.892232894153254
"(Intercept)",0.5,39252.9732705491,15030.094062797,0.00901146158114985
"bs(Age, knots = c(21, 45, 60))1",0.5,-25835.4957074948,15120.8861547013,0.0875260656023062
"bs(Age, knots = c(21, 45, 60))2",0.5,-26424.4008909601,15002.9810724249,0.0781919564162394
"bs(Age, knots = c(21, 45, 60))3",0.5,-25085.1026292761,15043.5088875563,0.0954147262873986
"bs(Age, knots = c(21, 45, 60))4",0.5,-23024.6812211533,15011.1205926555,0.125069012905235
"bs(Age, knots = c(21, 45, 60))5",0.5,-15650.0374258474,15084.7487981282,0.29951522846307
"bs(Age, knots = c(21, 45, 60))6",0.5,-13288.8785979141,15010.9575214387,0.376006680151473
"TitleIX_since1975",0.5,-1.39529353408331,0.657075041797995,0.033712952198623
"GenderM",0.5,-23877.221979669,15774.6217113129,0.130115568688041
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.5,22785.1367131778,15885.8279869372,0.151485371366873
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.5,22452.2223844781,15743.2689000847,0.153826173816747
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.5,21953.9323857885,15791.0510282666,0.164445208796514
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.5,22192.2938056476,15753.819124806,0.158926363038108
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.5,21218.4740058253,15836.0813969727,0.180284214761783
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.5,27763.3049317438,15757.2778383597,0.0780805936853262
"(Intercept)",0.75,66975.7170350346,64862.1945804136,0.30179854383537
"bs(Age, knots = c(21, 45, 60))1",0.75,-50354.9195361351,65014.8355050563,0.438626941428077
"bs(Age, knots = c(21, 45, 60))2",0.75,-51994.6584587159,64802.5863628747,0.422348053751954
"bs(Age, knots = c(21, 45, 60))3",0.75,-49686.7627061524,64875.1674265089,0.443746373685051
"bs(Age, knots = c(21, 45, 60))4",0.75,-47404.1919565908,64820.0443392376,0.46458395362434
"bs(Age, knots = c(21, 45, 60))5",0.75,-39517.281209114,64920.7586887503,0.542723318855221
"bs(Age, knots = c(21, 45, 60))6",0.75,-39226.6574480999,64775.8003242575,0.544796640652793
"TitleIX_since1975",0.75,-2.8308108013275,0.839240443118252,0.000743404145938431
"GenderM",0.75,-41772.4750031046,65121.7866262663,0.521229489173506
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.75,40775.6066073222,65297.0457134675,0.532323559824906
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.75,40874.2399130178,65071.4109790557,0.529909549824307
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.75,39433.5560279518,65147.9787584444,0.544985106148629
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.75,39760.9871912971,65089.9861482749,0.541291234687216
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.75,39584.442368033,65196.45959732,0.543747346636963
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.75,45987.8200916755,65047.675385099,0.479575147602564
"(Intercept)",0.9,108663.318492825,404550.186735796,0.788235414466762
"bs(Age, knots = c(21, 45, 60))1",0.9,-89292.7802752167,405462.00172772,0.825696153359234
"bs(Age, knots = c(21, 45, 60))2",0.9,-92398.3551744784,404298.320010928,0.81922648750472
"bs(Age, knots = c(21, 45, 60))3",0.9,-89073.3607368074,404681.942778998,0.825787815939785
"bs(Age, knots = c(21, 45, 60))4",0.9,-86747.4194348961,404393.055942375,0.830147369554301
"bs(Age, knots = c(21, 45, 60))5",0.9,-77674.8529775221,404939.311754391,0.84788442365782
"bs(Age, knots = c(21, 45, 60))6",0.9,-76014.3505834078,403985.606899982,0.85075046182252
"TitleIX_since1975",0.9,-4.35323601078231,1.31107039649669,0.00089902834855704
"GenderM",0.9,-89928.7748871488,404544.580556087,0.824083265706604
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.9,89194.2969366864,405459.62412421,0.825884310204795
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.9,89268.2248595492,404292.180497558,0.825247233720043
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.9,87136.170471931,404676.51262408,0.829515533678313
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.9,87660.1372662123,404386.957146083,0.82838537911529
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.9,87872.9936243592,404934.939300882,0.828204334803641
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.9,88117.2062371951,403978.286785194,0.827332848923858
