"bandwidth","estimate","std_error","p_value","n_obs","lo","hi"
3,197.891396845477,79.7910265897037,0.01313850248112,34660,41.5009847296575,354.281808961296
4,305.968759110011,66.5627686819865,4.30427919747046e-06,44368,175.505732493318,436.431785726705
5,307.371352906557,58.2318479789291,1.30812759537377e-07,54249,193.236930867857,421.505774945258
6,266.158192142258,52.8107195723518,4.6716035033544e-07,64012,162.649181780448,369.667202504067
7,139.447300786215,48.7020887096623,0.00419409272152623,73842,43.991206915277,234.903394657153
8,99.9657118063104,45.6616329883839,0.0285798637589739,83767,10.4689111490779,189.462512463543
10,-9.81009130204927,40.8852525543889,0.810375654148041,104196,-89.9451863086516,70.325003704553
