"term","tau","estimate","std.error","p.value"
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.5,22441.0077096843,13973.1553852284,0.108272406541352
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.5,21471.1110699325,14056.6597635537,0.126644833760857
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.5,28020.1564095323,13978.1330918343,0.0450092877278738
"(Intercept)",0.75,64428.6973226714,82546.5047039209,0.435088653541568
"bs(Age, knots = c(21, 45, 60))1",0.75,-47690.5085514242,82722.9214629383,0.56427134843781
"bs(Age, knots = c(21, 45, 60))2",0.75,-49372.6354858683,82482.127453649,0.549449251022089
"bs(Age, knots = c(21, 45, 60))3",0.75,-47100.3679448785,82563.3423752612,0.568355359080358
"bs(Age, knots = c(21, 45, 60))4",0.75,-44963.634144336,82501.7396985551,0.585752115562357
"bs(Age, knots = c(21, 45, 60))5",0.75,-37155.4452809542,82604.3951254156,0.652854878714994
"bs(Age, knots = c(21, 45, 60))6",0.75,-36638.8747650913,82474.321731523,0.656864967423999
"TitleIX_years",0.75,-10.5653802355158,1.65606077874275,1.7738299717962e-10
"GenderM",0.75,-39238.5794643721,82757.5722322911,0.635401028398961
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.75,38127.7737694582,82952.113689269,0.645777670917219
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.75,38267.1137988001,82700.3591389642,0.643565172342052
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.75,36859.4977303982,82784.8698249919,0.656143278374629
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.75,37327.2291578705,82720.7148458379,0.651813795040236
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.75,37226.5427608014,82828.2149549675,0.653112399440957
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.75,43425.2454351892,82694.9009979847,0.599495721195644
"(Intercept)",0.9,97754.5412977661,28527.5448007978,0.000611056495727791
"bs(Age, knots = c(21, 45, 60))1",0.9,-78192.4923421305,28615.2383554746,0.00628479956668704
"bs(Age, knots = c(21, 45, 60))2",0.9,-81368.1252916377,28502.7613016061,0.00430724313626718
"bs(Age, knots = c(21, 45, 60))3",0.9,-78101.370191784,28540.111574195,0.00620889757538556
"bs(Age, knots = c(21, 45, 60))4",0.9,-75986.0157707777,28510.5842346313,0.00769472152024009
"bs(Age, knots = c(21, 45, 60))5",0.9,-67126.3735722817,28576.8383375056,0.018825239690154
"bs(Age, knots = c(21, 45, 60))6",0.9,-65274.4124188015,28561.8472118614,0.0222913476878537
"TitleIX_years",0.9,-16.9444140169213,2.47375346311794,7.40696393108919e-12
"GenderM",0.9,-79018.627479511,29583.5277041598,0.00756193372467129
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.9,78114.6595273404,29717.8673847663,0.00857533934469723
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.9,78233.4635907869,29546.3205269164,0.00810131857057228
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.9,76165.0606648839,29601.5441387531,0.0100820123229479
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.9,76882.8081558353,29559.429215873,0.00929657433660602
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.9,77309.1329729685,29648.2035956614,0.00911947689988191
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.9,77372.9575283126,29605.0916518401,0.00896212767914872
