"term","tau","estimate","std.error","p.value"
"bs(Age, knots = c(21, 45, 60))6",0.25,9668.33065069498,10898.696097903,0.375020516710635
"TitleIX_5Elementary",0.25,-562.142959520052,24.3509208330781,0
"TitleIX_5Middle",0.25,-558.028488443776,31.4696825716947,0
"TitleIX_5High",0.25,-461.925685316601,30.0977150757086,0
"TitleIX_5Yes",0.25,-264.483228751684,23.1910830832854,0
"GenderM",0.25,-2432.89713051141,10927.2036815363,0.823811163216387
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.25,1082.91679136359,11017.3055004306,0.921700180772047
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.25,364.799772749615,10900.1750899927,0.973301925112203
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.25,596.434667891568,10940.5911071964,0.956524263811638
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.25,195.502328174359,10907.3196925439,0.985699521603876
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.25,1441.97484808179,10981.2149575204,0.895527843749697
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.25,1883.65306103002,10960.2532904063,0.863545919958567
"(Intercept)",0.5,41102.2313300041,10598.0236310378,0.000105200588064847
"bs(Age, knots = c(21, 45, 60))1",0.5,-27479.3016830009,10687.130894938,0.0101333449783059
"bs(Age, knots = c(21, 45, 60))2",0.5,-28011.7796283065,10569.156356657,0.00804141131789105
"bs(Age, knots = c(21, 45, 60))3",0.5,-26715.6185833804,10610.3149816112,0.0118061681019115
"bs(Age, knots = c(21, 45, 60))4",0.5,-24537.4842391843,10576.1491996538,0.0203369380142542
"bs(Age, knots = c(21, 45, 60))5",0.5,-17972.6601624785,10651.9483385207,0.0915527791620381
"bs(Age, knots = c(21, 45, 60))6",0.5,-14899.3523598913,10568.0233142179,0.158583669357839
"TitleIX_5Elementary",0.5,-513.720420838376,25.2432898107373,0
"TitleIX_5Middle",0.5,-533.538210082424,32.6930919082216,0
"TitleIX_5High",0.5,-357.053531642926,30.7189856749123,0
"TitleIX_5Yes",0.5,-239.618866476949,25.0373426937996,0
"GenderM",0.5,-25689.8046187661,11806.9128039853,0.0295684528388835
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.5,24402.8494866906,11923.1708202595,0.040690375079967
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.5,23999.3622732931,11772.718926422,0.041494550008917
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.5,23549.9888797401,11823.2475100896,0.0463892118139599
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.5,23663.588720733,11782.9228724189,0.0446122482900098
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.5,23514.8314314346,11869.334836116,0.0475757454559607
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.5,29298.8309281603,11776.2398818069,0.0128479631362191
"(Intercept)",0.75,76771.6867511829,19530.8690823016,8.46752101955062e-05
"bs(Age, knots = c(21, 45, 60))1",0.75,-59961.6923064131,19648.2246240668,0.00227510198496828
"bs(Age, knots = c(21, 45, 60))2",0.75,-61442.397831332,19441.8910752352,0.00157607236754576
"bs(Age, knots = c(21, 45, 60))3",0.75,-59223.6829355141,19514.8001700745,0.00240695954591952
"bs(Age, knots = c(21, 45, 60))4",0.75,-56814.2576584548,19454.8613694252,0.00349691081752423
"bs(Age, knots = c(21, 45, 60))5",0.75,-50141.1809953208,19577.0191145366,0.0104305094177737
"bs(Age, knots = c(21, 45, 60))6",0.75,-48184.308194749,19359.6702949331,0.012814051296872
"TitleIX_5Elementary",0.75,-671.862716258754,33.2944537082073,0
"TitleIX_5Middle",0.75,-611.286063338032,39.7779256115865,0
"TitleIX_5High",0.75,-419.779242279497,40.6034490691064,0
"TitleIX_5Yes",0.75,-340.073027206587,33.5129116832386,0
"GenderM",0.75,-51535.5451815151,20538.5002243735,0.012100118992225
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.75,50345.8575322955,20725.4364379942,0.0151331467364413
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.75,50293.7313000555,20482.2360138958,0.0140698447668155
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.75,48934.9650871993,20565.674993773,0.0173387922292756
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.75,49135.4682413052,20498.6138198813,0.0165295064315121
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.75,50162.9443048541,20632.0612860889,0.0150445349384685
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.75,55002.0754263149,20411.449136632,0.00704602708258073
"(Intercept)",0.9,123621.069424765,84838.0759848623,0.14507774734137
"bs(Age, knots = c(21, 45, 60))1",0.9,-103615.505927736,85020.1495854869,0.222951955696699
"bs(Age, knots = c(21, 45, 60))2",0.9,-107048.89643074,84784.7063985078,0.206734489295942
"bs(Age, knots = c(21, 45, 60))3",0.9,-103689.219398315,84863.5609295726,0.221770603014487
"bs(Age, knots = c(21, 45, 60))4",0.9,-101362.873853704,84799.7123775305,0.231961999073399
