"term","tau","estimate","std.error","p.value"
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.1,4916.15001592673,3698.00695122119,0.18371466316963
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.1,7985.9417493687,3694.8875963597,0.0306686768147246
"(Intercept)",0.25,17842.6834852972,18268.4855559533,0.328721951438854
"bs(Age, knots = c(21, 45, 60))1",0.25,-5972.37226874811,18353.8974197884,0.744877859524613
"bs(Age, knots = c(21, 45, 60))2",0.25,-5661.19185441478,18238.6849578493,0.756260873589014
"bs(Age, knots = c(21, 45, 60))3",0.25,-5123.44252531219,18278.7059016258,0.779250726303865
"bs(Age, knots = c(21, 45, 60))4",0.25,-2909.69817800089,18245.6047612135,0.873295540789366
"bs(Age, knots = c(21, 45, 60))5",0.25,1579.493000075,18317.9274553011,0.931286289605361
"bs(Age, knots = c(21, 45, 60))6",0.25,9719.64417004027,18233.6084004766,0.593990792011727
"TitleIX_18Some1",0.25,-230.879666877518,58.1429603405907,7.16088561376615e-05
"TitleIX_18Some2",0.25,-375.565784874934,49.6005145727025,3.68594044175552e-14
"TitleIX_18Some3",0.25,-513.588310486341,58.782522796878,0
"TitleIX_18Some4",0.25,-622.180592441817,61.2985839794924,0
"TitleIX_18Some5",0.25,-508.835332859312,49.458212707794,0
"TitleIX_18Some6",0.25,-571.447129098805,43.5762678695177,0
"TitleIX_18Some7",0.25,-484.332222927051,45.4401572020019,0
"TitleIX_18Some8",0.25,-607.196901869371,51.4258075642277,0
"TitleIX_18Some9",0.25,-793.324720397907,46.7796894449739,0
"TitleIX_18Some10",0.25,-550.771875536824,54.2742233080438,0
"TitleIX_18Some11",0.25,-688.378052450676,48.4622286165197,0
"TitleIX_18Some12",0.25,-544.340217193157,52.3184837750706,0
"TitleIX_18Some13",0.25,-565.005848615116,46.0699517767724,0
"TitleIX_18Some14",0.25,-565.434641414513,47.863637710737,0
"TitleIX_18Some15",0.25,-472.245402618246,47.658733957752,0
"TitleIX_18Some16",0.25,-393.626272750709,40.8682277332563,0
"TitleIX_18Yes",0.25,-258.257076836496,23.7731448174491,0
"GenderM",0.25,-2433.77071640071,18267.0198668451,0.894009108869284
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.25,1105.08394396509,18356.8810505924,0.951996373235173
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.25,354.965594535488,18239.9989799031,0.98447348571101
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.25,618.863681652819,18280.3261346937,0.972993516749287
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.25,149.074350830292,18246.9574797326,0.993481501584278
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.25,1525.48824874266,18321.1542836994,0.933641833494679
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.25,1833.15743702172,18267.9887490293,0.920068019296937
"(Intercept)",0.5,40521.0423757154,9978.81262370701,4.89287174332276e-05
"bs(Age, knots = c(21, 45, 60))1",0.5,-26938.3615319366,10065.7576085929,0.00744552687726596
"bs(Age, knots = c(21, 45, 60))2",0.5,-27428.2790160563,9950.54317895838,0.00584319675858991
"bs(Age, knots = c(21, 45, 60))3",0.5,-26148.0735649596,9990.70039751078,0.00886452873227106
"bs(Age, knots = c(21, 45, 60))4",0.5,-23919.6364163656,9957.38815298546,0.016297023436231
"bs(Age, knots = c(21, 45, 60))5",0.5,-17465.7460626033,10032.4196217212,0.0816961245170895
"bs(Age, knots = c(21, 45, 60))6",0.5,-14257.979956287,9956.28157516632,0.152127396042772
"TitleIX_18Some1",0.5,-85.9599883875561,59.2249947789451,0.146664988651926
"TitleIX_18Some2",0.5,-425.596118237796,65.6904958014544,9.25020060549286e-11
"TitleIX_18Some3",0.5,-331.454351974637,57.233344674574,6.98772462115471e-09
"TitleIX_18Some4",0.5,-469.550994002547,55.9367132773543,0
"TitleIX_18Some5",0.5,-422.531073620002,51.2931642469715,2.22044604925031e-16
"TitleIX_18Some6",0.5,-506.11010787467,50.108115832955,0
"TitleIX_18Some7",0.5,-415.74132306694,48.8616354359767,0
"TitleIX_18Some8",0.5,-664.641132256224,49.3947024043137,0
"TitleIX_18Some9",0.5,-720.839156197171,50.0544027323848,0
"TitleIX_18Some10",0.5,-669.39304491856,41.8905524846697,0
"TitleIX_18Some11",0.5,-538.910892317444,41.8034895337506,0
"TitleIX_18Some12",0.5,-504.068260142633,48.2401673988525,0
"TitleIX_18Some13",0.5,-456.574595557056,46.732309177298,0
"TitleIX_18Some14",0.5,-596.723677378981,46.4489892207015,0
"TitleIX_18Some15",0.5,-380.774740198336,46.4009707249538,2.22044604925031e-16
"TitleIX_18Some16",0.5,-301.142323727265,37.1194869172241,4.44089209850063e-16
"TitleIX_18Yes",0.5,-231.11079171227,25.251741317762,0
"GenderM",0.5,-25099.4617174569,11256.8988672661,0.02576790586857
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.5,23849.8690146185,11371.7313511553,0.0359678243016508
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.5,23408.7261966499,11223.2269272894,0.0370025477591343
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.5,22971.8246454837,11272.9555836646,0.0415720721681472
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.5,23040.7022156238,11233.4020134414,0.0402586422687667
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.5,22990.5218645832,11318.8628479496,0.0422381897436388
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.5,28660.8137641839,11232.5967603624,0.0107239024603536
"(Intercept)",0.75,75018.6400871328,6986.37512530515,0
"bs(Age, knots = c(21, 45, 60))1",0.75,-58187.3375834385,6990.54040102575,0
"bs(Age, knots = c(21, 45, 60))2",0.75,-59714.5194484936,6836.62663075475,0
"bs(Age, knots = c(21, 45, 60))3",0.75,-57477.5134633179,6891.36520332674,0
"bs(Age, knots = c(21, 45, 60))4",0.75,-55026.1928026356,6847.53558682225,8.88178419700125e-16
"bs(Age, knots = c(21, 45, 60))5",0.75,-48478.6204802886,6932.18230386513,2.68762789801258e-12
"bs(Age, knots = c(21, 45, 60))6",0.75,-46226.6301441368,6854.04476892306,1.53730361773796e-11
